trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.5, 'e': 0.9286373107007021}",25,0,-153.4217585215749,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.9277086733900014}",30,18,-79.0581269124642,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
77,False,"{'a': 0.5, 'e': 0.9267809647166114}",30,0,-193.86910227646283,"{0: 16, 1: 3, 2: 8, 3: 0, 4: 3}",0
78,False,"{'a': 0.5, 'e': 0.9258541837518948}",20,0,-181.37465554409087,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
79,False,"{'a': 0.5, 'e': 0.9249283295681429}",25,4,-104.91113800264964,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.9240034012385747}",20,2,-133.15875491214965,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 3}",1
81,False,"{'a': 0.5, 'e': 0.9230793978373362}",20,0,-153.43823933918748,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
82,False,"{'a': 0.5, 'e': 0.9221563184394989}",25,0,-140.45788350676492,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
83,False,"{'a': 0.5, 'e': 0.9212341621210594}",20,0,-63.38465653353797,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.9203129279589383}",20,0,-74.91524918222083,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
85,False,"{'a': 0.5, 'e': 0.9193926150309794}",20,0,-155.6456530834582,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
86,False,"{'a': 0.5, 'e': 0.9184732224159483}",20,0,-120.97226559796957,"{0: 11, 1: 0, 2: 6, 3: 2, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.9175547491935324}",25,9,-104.14063395211842,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 2}",1
88,False,"{'a': 0.5, 'e': 0.9166371944443389}",20,0,-134.64101624445655,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
